question,answer,expected,link
What's the current state of Season 6 of Optimism's grants?,,Season 6 of Optimism's grants is in the proposal preliminar review phase (July 25th to July 31st),
What happens if i submit a proposal after the cycle deadline?,,Any Application submitted after a Cycle deadline will be considered for the next Cycle.,
What's the deadline for submiting a proposal in S5?,,"We're currently at season 6, submissions are now continuously open (until November 6th)  and the next cycle is at August 8th. Season 5 happened between 04/01 and 08/05. The deadline for submiting a proposal at the last cycle (#22) was 29/03.",
In what voting cycle we are in?,,"We're currently at voting cycle #25, season 6, at the revier period. ",
When the next CoCC town Hall will happen? ,,"The Code of Conduct Council Town Hall will be hosted on Tuesday, July 30th from 1pm - 2pm ET / 5pm - 6pm GMT.",
How does the CoCc town hall works?,,"the structure of the Town Hall will be each nominee will have 60 seconds to answer one question from the Foundation. 

What unique skills or habits will you bring to the Code of Conduct Council to ensure it delivers measurable impact towards the approved KPIs?",
What are the last Conduct Council nominees?,,"@Bubli.eth (link to self-nomination)

@CryptoReuMD (link to self-nomination)

@JuanRah (link to self-nomination 2)

@Oxytocin (link to self-nomination)

@NazreAssad (link to self-nomination 1)

@Gabriel29 (link to self-nomination 1)

@Pumbi (link to self-nomination 1)

@fujiar (link to self-nomination 1) - Citizen

@gospelofchange (link to self-nomination)

@Gus (link to self-nomination)

@alexsotodigital (link to self-nomination)

@eve633 (link to self-nomination)",
Who is the security council lead?,,The Foundation has appointed Alisha.eth 30 as the first Security Council Lead.,
When token house call will happen? ,,"Tuesday, August 6th @ 11:00PT / 14:00 ET / 18:00 GMT / 19:00 CET",https://gov.optimism.io/t/date-change-token-house-call-will-be-tuesday-august-6th-11-00pt-14-00-et-18-00-gmt-19-00-cet/8617
What's the link to attend Token House Call?,,"Google meet link:
https://meet.google.com/vme-ovto-jcn",
Was the budget for Conduct Council approved?,,"The budget to renew the Code of Conduct Council during Season 6 was approved during Special Voting Cycle 23b.
",https://gov.optimism.io/t/voting-cycle-roundup-25/8606
Ws the proposal for ratify security council members approved?,,"Yes, the proposal succeeded at december 6, 2023. ",https://vote.optimism.io/proposals/85591583404433237270543189567126336043697987369929953414380041066767718361144